order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,40,3,99.57,298.71
2,1,37,4,212.85,851.4
3,2,14,3,86.4,259.2
4,2,28,4,94.78,379.12
5,2,38,4,233.87,935.48
6,3,31,3,124.28,372.84
7,3,48,3,78.79,236.37
8,3,11,1,106.52,106.52
9,3,43,2,180.13,360.26
10,3,6,3,293.12,879.36
11,4,3,2,129.8,259.6
12,5,30,4,81.39,325.56
13,6,46,4,170.71,682.84
14,6,45,4,58.09,232.36
15,7,49,1,108.86,108.86
16,8,45,4,58.09,232.36
17,8,34,1,237.28,237.28
18,9,30,2,81.39,162.78
19,10,36,4,198.58,794.32
20,10,39,4,155.53,622.12
21,10,21,2,108.43,216.86
22,10,49,4,108.86,435.44
23,10,29,4,79.75,319.0
24,11,50,2,39.18,78.36
25,11,34,3,237.28,711.84
26,11,32,4,48.43,193.72
27,12,18,3,114.92,344.76
28,12,22,1,128.29,128.29
29,13,45,1,58.09,58.09
30,13,10,4,185.77,743.08
31,13,46,4,170.71,682.84
32,13,14,3,86.4,259.2
33,14,14,4,86.4,345.6
34,15,49,4,108.86,435.44
35,16,49,2,108.86,217.72
36,16,25,4,96.38,385.52
37,16,27,2,221.44,442.88
38,17,25,3,96.38,289.14
39,18,47,1,145.71,145.71
40,18,11,4,106.52,426.08
41,18,30,1,81.39,81.39
42,18,9,1,78.86,78.86
43,19,12,3,75.81,227.43
44,19,4,2,204.4,408.8
45,19,17,4,152.92,611.68
46,19,25,3,96.38,289.14
47,20,17,1,152.92,152.92
48,20,6,3,293.12,879.36
49,20,31,2,124.28,248.56
50,20,2,1,117.76,117.76
51,21,16,2,191.49,382.98
52,22,16,4,191.49,765.96
53,22,9,1,78.86,78.86
54,23,50,1,39.18,39.18
55,23,24,2,332.98,665.96
56,23,11,3,106.52,319.56
57,24,37,4,212.85,851.4
58,24,44,2,238.22,476.44
59,24,25,1,96.38,96.38
60,25,7,3,87.19,261.57
61,25,45,1,58.09,58.09
62,26,23,4,220.33,881.32
63,27,42,1,86.97,86.97
64,27,22,4,128.29,513.16
65,27,1,3,60.25,180.75
66,27,27,4,221.44,885.76
67,27,32,2,48.43,96.86
68,28,42,4,86.97,347.88
69,28,18,4,114.92,459.68
70,28,40,4,99.57,398.28
71,28,35,3,164.75,494.25
72,28,50,3,39.18,117.54
73,29,18,4,114.92,459.68
74,30,43,3,180.13,540.39
75,30,25,2,96.38,192.76
76,30,22,4,128.29,513.16
77,30,2,2,117.76,235.52
78,30,32,3,48.43,145.29
79,31,39,1,155.53,155.53
80,31,45,2,58.09,116.18
81,31,18,1,114.92,114.92
82,32,49,4,108.86,435.44
83,32,16,4,191.49,765.96
84,32,45,1,58.09,58.09
85,32,31,1,124.28,124.28
86,32,42,3,86.97,260.91
87,33,20,3,54.19,162.57
88,33,43,4,180.13,720.52
89,34,48,4,78.79,315.16
90,34,36,3,198.58,595.74
91,34,22,3,128.29,384.87
92,34,23,3,220.33,660.99
93,35,21,2,108.43,216.86
94,35,8,2,113.47,226.94
95,36,49,2,108.86,217.72
96,36,34,3,237.28,711.84
97,36,39,2,155.53,311.06
98,36,19,3,196.67,590.01
99,36,7,2,87.19,174.38
100,37,9,3,78.86,236.58
101,37,18,2,114.92,229.84
102,37,3,4,129.8,519.2
103,37,4,1,204.4,204.4
104,37,36,1,198.58,198.58
105,38,29,3,79.75,239.25
106,38,22,4,128.29,513.16
107,38,12,1,75.81,75.81
108,38,4,1,204.4,204.4
109,39,41,3,47.59,142.77
110,39,44,1,238.22,238.22
111,39,4,2,204.4,408.8
112,39,10,1,185.77,185.77
113,39,37,4,212.85,851.4
114,40,15,4,302.18,1208.72
115,40,50,3,39.18,117.54
116,40,34,4,237.28,949.12
117,40,25,3,96.38,289.14
118,40,29,1,79.75,79.75
119,41,41,3,47.59,142.77
120,41,14,1,86.4,86.4
121,42,5,4,206.05,824.2
122,42,11,3,106.52,319.56
123,42,1,1,60.25,60.25
124,42,27,2,221.44,442.88
125,42,29,3,79.75,239.25
126,43,5,2,206.05,412.1
127,43,44,4,238.22,952.88
128,43,15,1,302.18,302.18
129,43,17,2,152.92,305.84
130,44,5,2,206.05,412.1
131,44,4,3,204.4,613.2
132,45,8,4,113.47,453.88
133,45,30,3,81.39,244.17
134,45,45,4,58.09,232.36
135,45,20,4,54.19,216.76
136,46,48,1,78.79,78.79
137,46,21,1,108.43,108.43
138,46,39,2,155.53,311.06
139,46,17,1,152.92,152.92
140,47,37,2,212.85,425.7
141,47,3,4,129.8,519.2
142,47,49,4,108.86,435.44
143,48,28,3,94.78,284.34
144,48,41,4,47.59,190.36
145,48,32,3,48.43,145.29
146,48,6,3,293.12,879.36
147,48,31,1,124.28,124.28
148,49,45,4,58.09,232.36
149,49,32,1,48.43,48.43
150,49,19,4,196.67,786.68
151,49,43,1,180.13,180.13
152,50,50,4,39.18,156.72
153,51,43,4,180.13,720.52
154,52,24,4,332.98,1331.92
155,52,40,1,99.57,99.57
156,52,49,2,108.86,217.72
157,52,32,3,48.43,145.29
158,52,41,2,47.59,95.18
159,53,8,2,113.47,226.94
160,53,2,2,117.76,235.52
161,53,41,3,47.59,142.77
162,53,39,1,155.53,155.53
163,54,8,1,113.47,113.47
164,54,30,2,81.39,162.78
165,55,27,4,221.44,885.76
166,55,31,2,124.28,248.56
167,55,16,4,191.49,765.96
168,56,5,4,206.05,824.2
169,56,18,3,114.92,344.76
170,57,1,3,60.25,180.75
171,57,19,4,196.67,786.68
172,57,47,2,145.71,291.42
173,58,22,4,128.29,513.16
